Word	Simplified	Traditional	Pinyin	Yale (provisional)	IPA
Aberdeen	阿伯丁	阿伯丁	Ābódīng	A-ba-dīng	
Aberg	阿韦尔格	阿韋爾格	Āwéi'ěrgé	A-wáih-yíh-gaak	
Aberystwith	阿伯里斯特威斯	阿伯里斯特威斯	Ābólǐsītèwēisī	A-ba-léih-sī-dahk-wāi-sī	
abhorrent	惹人厌恶	惹人厭惡	rěrén yànwù	yéh-yàhn yim-wu	ˌəbhˈɒɹənt
Abi	亚比	亞比	Yàbǐ	Nga-béi	ˈeɪbaɪ
Abi-ezer	亚比以谢	亞比以謝	Yàbǐyǐxiè	Nga-béi-yíh-jeh	ˌæbiˈizə
Abiasaph	亚比亚撒	亞比亞撒	Yàbǐyàsā	Nga-béi-nga-saat	ʌbˈaɪʌsæf
Abiathar	亚比亚他	亞比亞他	Yàbǐyàtā	Nga-béi-nga-tā	ʌbˈaɪəθɑɹ
Abib	亚笔月	亞筆月	Yàbǐyuè	Nga-bāt-yuht	ˈeɪbɪb
Abida	亚比达	亞比達	Yàbǐdá	Nga-béi-daaht	ʌbˈaɪdʌ
Abidjan	阿比让	阿比讓	Ābǐràng	A-béi-yeuhng	
Abiel	亚别	亞別	Yàbié	Nga-biht	ʌbˈaɪʌl
Abigail (Bible)	亚比该	亞比該	Yàbǐgāi	Nga-béi-gōi	ˈæbɪɡeɪʌl
Abigail (modern)	娅比凯	婭比凱	Yàbǐkǎi	A-béi-hói	
Abigail (modern)	阿比盖尔	阿比蓋爾	Ābǐgài'ěr	A-béi-goi-yíh	
Abihu	亚比户	亞比戶	Yàbǐhù	Nga-béi-wuh	ʌbˈaɪhjʉː
Abihud	亚比忽	亞比忽	Yàbǐhū	Nga-béi-fāt	ʌbˈaɪhʌd
Abijah	亚比雅	亞比雅	Yàbǐyǎ	Nga-béi-ngáh	ʌbˈaɪdʒʌ
Abijam	亚比央	亞比央	Yàbǐyāng	Nga-béi-yēung	ʌbˈaɪdʒəm
Abilene	亚比利尼	亞比利尼	Yàbǐlìní	Nga-béi-leih-nèih	ˌæbʌlˈini
ability to pay back (a debt)	还债能力	還債能力	huánzhài nénglì	wàahn-jaai nàhng-lihk	
Abimelech	亚比米勒	亞比米勒	Yàbǐmǐlè	Nga-béi-máih-lahk	ʌbˈɪmʌlɛkh
Abinadab	亚比拿达	亞比拿達	Yàbǐnádá	Nga-béi-nàh-daaht	ʌbˈɪnɪdæb
Abing (blind musician 1893-1950)	阿炳	阿炳	Ābǐng	A-bíng	
Abinsk	阿宾斯克	阿賓斯克	Ābīnsīkè	A-bān-sī-hāk	
abiogenesis	无生源论	無生源論	wúshēngyuánlùn	mòuh-sāang-yùhn-leuhn	
Abiram	亚比兰	亞比蘭	Yàbǐlán	Nga-béi-làahn	ʌbˈaɪɹəm
Abishag	亚比莎	亞比莎	Yàbǐshā	Nga-béi-sā	ˈæbiʃæɡ
Abishag (older translation)	亚比煞	亞比煞	Yàbǐshà	Nga-béi-saat	ˈæbiʃæɡ
Abishai	亚比筛	亞比篩	Yàbǐshāi	Nga-béi-sāi	ʌbˈɪʃaɪ
Abishua	亚比书	亞比書	Yàbǐshū	Nga-béi-syū	ˌæbɪʃˈʉːʌ
Abishur	亚比述	亞比述	Yàbǐshù	Nga-béi-seuht	ʌbˈaɪʃə
(a bit) better	好一点	好一點	hǎo yīdiǎn	hóu yāt-dím	
a bit faster	快一点	快一點	kuài yīdiǎn	faai yāt-dím	
Abitub	亚比突	亞比突	Yàbǐtū	Nga-béi-daht	ʌbˈaɪtəb
Abkhazia	阿布哈兹	阿布哈茲	Ābùhāzī	A-bou-hā-jī	
Abkhazian (language)	阿布哈西亚语	阿布哈西亞語	Ābùhāxīyàyǔ	A-bou-hā-sāi-nga-yúh	
Abkhaz (language)	阿布哈兹语	阿布哈茲語	Ābùhāzīyǔ	A-bou-hā-jī-yúh	
able-bodied man (word used in some cases)	壮汉	壯漢	zhuànghàn	jong-hon	
able to march and good at fighting	能征善战	能征善戰	néngzhēng-shànzhàn	nàhng-jīng-sihn-jin	
Abner	押尼珥	押尼珥	Yāní'ěr	Aat-nèih-yih	ˈæbnəː
abnormal	不正常	不正常	bùzhèngcháng	bāt-jing-sèuhng	
abnormal psychology; psychopathology	精神病理学	精神病理學	jīngshénbìnglǐxué	jīng-sàhn-behng-léih-hohk	
Abobral	阿博布	阿博布	Ābóbù	A-bok-bou	
abode; big house	大宅	大宅	dàzhái	daaih-jaahk	ˌəbˈəʊd
Abomey	亚波美	亞波美	Yàbōměi	Nga-bō-méih	
abomination	可憎之事	可憎之事	kězēng zhī shì	hó-jāng jī sih	
<TW> aboriginal	原住民族	原住民族	yuánzhùmínzú	yùhn-jyuh-màhn-juhk	
Aboriginal community (village etc)	原住民社区	原住民社區	yuánzhùmín shèqū	yùhn-jyuh-màhn séh-kēui	
aborigines (lit. original inhabitants)	土著居民	土著居民	tǔzhù jūmín	tóu-jyu gēui-màhn	
Aboth (in Mishnah)	阿伯特	阿伯特	Ābótè	A-ba-dahk	
Aboud	阿布德	阿布德	Ābùdé	A-bou-dāk	
about to die	快要死	快要死	kuàiyào sǐ	faai-yiu séi	
about to reach (place)	快到	快到	kuài dào	faai dou	
Abraham	亚伯拉罕	亞伯拉罕	Yàbólāhǎn	Nga-ba-lāai-hón	
Abrahamson	亚伯拉罕森	亞伯拉罕森	Yàbólāhǎnsēn	Nga-ba-lāai-hón-sām	
Abram	亚伯兰	亞伯蘭	Yàbólán	Nga-ba-làahn	ˈeɪbɹəm
Abramović	阿布拉莫维奇	阿布拉莫維奇	Ābùlāmòwéiqí	A-bou-lāai-mohk-wàih-kèih	
abridged edition	缩略本	縮略本	suōlüèběn	sūk-leuhk-bún	
A Brief History of Time (book)	时间简史	時間簡史	Shíjiān Jiǎnshǐ	Sìh-gāan Gáan-sí	
Abronah	阿博拿	阿博拿	Ābóná	A-bok-nàh	ʌbɹˈəʊnʌ
Absalom	押沙龙	押沙龍	Yāshālóng	Aat-sā-lùhng	ˈæbsəlɒm
absence seizure	失神发作	失神發作	shīshén fāzuò	sāt-sàhn faat-jok	
abstraction (abstract thing)	抽象的事	抽象的事	chōuxiàng de shì	chāu-jeuhng dīk sih	
Ab (summer month)	阿布月	阿布月	Ābùyuè	A-bou-yuht	
Abt	亚伯特	亞伯特	Yàbótè	Nga-ba-dahk	
Abui (language)	阿布伊语	阿布伊語	Ābùyīyǔ	A-bou-yī-yúh	
abundance of words; speak many words	多言多语	多言多語	duōyán-duōyǔ	dō-yìhn-dō-yúh	
abundantly feel (big feel)	大感	大感	dàgǎn	daaih-gám	
abundant riches	巨财	巨財	jùcái	geuih-chòih	
abuse power for personal gain	滥权自肥	濫權自肥	lànquán zìféi	laahm-kyùhn jih-fèih	
abuser (of drugs etc)	滥用者	濫用者	lànyòngzhě	laahm-yuhng-jé	
Abuso	阿布索	阿布索	Ābùsuǒ	A-bou-sok	
Abyssinia	阿比西尼亚	阿比西尼亞	Ābǐxīníyà	A-béi-sāi-nèih-nga	
abyss or bottomless pit (old translation?)	无底坑	無底坑	wúdǐkēng	mòuh-dái-hāang	
Abū	阿布	阿布	Ābù	A-bou	
acacia wood	金合欢木	金合歡木	jīnhéhuānmù	gām-hahp-fūn-muhk	
academic-type	学术型	學術型	xuéshùxíng	hohk-seuht-yìhng	
academic achievement	学术成果	學術成果	xuéshù chéngguǒ	hohk-seuht sìhng-gwó	
academic entrepreneur	学术型企业家	學術型企業家	xuéshùxíng qǐyèjiā	hohk-seuht-yìhng kéih-yihp-gā	
academic gown	学袍	學袍	xuépáo	hohk-pòuh	
academic knowledge	学术知识	學術知識	xuéshù zhīshi	hohk-seuht ji-sīk	
academic publications	学术出版物	學術出版物	xuéshù chūbǎnwù	hohk-seuht chēut-báan-maht	
academic research	学术研究	學術研究	xuéshù yánjiū	hohk-seuht yìhn-gau	
a calling that one has been granted as a favour	承蒙召唤	承蒙召喚	chéngméngzhàohuàn	sìhng-mùhng-jiuh-wuhn	
a calling that one has been granted as a favour	蒙召	蒙召	méngzhào	mùhng-jiuh	
Accad	亚卡	亞卡	Yàkǎ	Nga-kā	ˈækhæd
acceptable time	悦纳的时候	悅納的時候	yuènà de shíhou	yuht-naahp dīk sìh-hauh	
accept adulation	受人抬举	受人抬舉	shòu rén táiju	sauh yàhn tòih-géui	
<fashion> accessible/affordable luxury item	轻奢侈品	輕奢侈品	qīng shēchǐpǐn	hīng chē-chí-bán	
<fashion> accessible luxury	轻奢	輕奢	qīngshē	hīng-chē	
acciaccatura	短倚音	短倚音	duǎn yǐyīn	dyún yí-yām	
accidentally	意外地	意外地	yìwài de	yi-ngoih deih	ˌæksɪdˈɛntəli
accommodate; contain; hold	容得下	容得下	róng dé xià	yùhng dāk hah	ˌəkˈɒmədeɪt
accompany; have a sharing with	作伴	作伴	zuò bàn	jok buhn	ˌəkˈʌmpəni
accompany all the time	常伴	常伴	chángbàn	sèuhng-buhn	
according (i.e. in accordance with some quantity etc)	照着	照著	zhàozhe	jiu-jyu	ˌəkˈʊədɪŋ
according to the number of years	按年数	按年數	àn niánshù	on nìhn-sou	
according to the plan (?)	依计	依計	yījì	yī-gai	
accounting, reckoning (variant form)	交账	交賬	jiāozhàng	gāau-jeung	
accounting fraud (lit. false accounts)	假账	假賬	jiǎ zhàng	gá jeung	
account number (of MSN etc)	账号	賬號	zhànghào	jeung-houh	
Accra	阿克拉	阿克拉	Ākèlā	A-hāk-lāai	ˌəkɹˈæɹ
Achaia	亚该亚	亞該亞	Yàgāiyà	Nga-gōi-nga	əkˈeɪʌ
Achan; Achar	亚干	亞干	Yàgān	Nga-gōn	ˈeɪkəːn
Achao	阿乔	阿喬	Āqiáo	A-kìuh	
Achbor	亚革波	亞革波	Yàgébō	Nga-gaak-bō	ˈækbʊəɹ
Acheng District	阿城区	阿城區	Āchéng Qū	A-sìhng Kēui	
Achilles	阿喀琉斯	阿喀琉斯	Ākāliúsī	A-haak-làuh-sī	
Achim	亚金	亞金	Yàjīn	Nga-gām	ˈeɪkʊm
Achinese (language)	亚齐语	亞齊語	Yàqíyǔ	Nga-chàih-yúh	
Achish	亚吉	亞吉	Yàjí	Nga-gāt	ˈeɪkɪʃ
Acholi (language)	阿乔利语	阿喬利語	Āqiáolìyǔ	A-kìuh-leih-yúh	
Achor	亚割	亞割	Yàgē	Nga-got	ˈeɪkhʊə
Achshaph	押煞	押煞	Yāshà	Aat-saat	ˈækʃæf
Ackerman	阿克曼	阿克曼	Ākèmàn	A-hāk-maahn	
Ackroyd	艾克罗伊德	艾克羅伊德	Àikèluóyīdé	Ngaaih-hāk-lòh-yī-dāk	
Acloque	阿克洛克	阿克洛克	Ākèluòkè	A-hāk-lohk-hāk	
Acosta	阿科斯塔	阿科斯塔	Ākēsītǎ	A-fō-sī-taap	
A Counterblaste to Tobacco (1604)	反对烟草	反對煙草	Fǎnduì Yāncǎo	Fáan-deui Yīn-chóu	
acoustic fence; soundproof wall	隔音墙	隔音牆	géyīnqiáng	gaak-yām-chèuhng	
acquittal	判无罪	判無罪	pànwúzuì	pun-mòuh-jeuih	
Acre (place)	阿卡	阿卡	Ākǎ	A-kā	
A Critical Lexicon and Concordance to the English and Greek New Testament	新约英希文本考证词典及词语索引	新約英希文本考證詞典及詞語索引	Xīnyuē Yīng-Xī Wénběn Kǎozhèng Cídiǎn Jí Cíyǔ Suǒyǐn	Sān-yeuk Yīng-hēi Màhn-bún Háau-jing Chìh-dín Kahp Chìh-yúh Sok-yáhn	
acrostic poetry	离合诗	離合詩	líhéshī	lèih-hahp-sī	
Actaeon	阿克特翁	阿克特翁	Ākètèwēng	A-hāk-dahk-yūng	
act as a memory aid (lit. help memory)	帮助记忆	幫助記憶	bāngzhù jìyì	bōng-joh gei-yīk	
Actinide series (on the periodic table)	锕系元素	錒系元素	Ā-xì yuánsù	Ā-haih yùhn-sou	
actions back up what one says; words and deeds match	言行相称	言行相稱	yánxíng xiāngchèn	yìhn-hàhng sēung-ching	
actions speak louder than words	事实胜于雄辩	事實勝于雄辯	shìshí shèngyú xióngbiàn	sih-saht sing-yū hùhng-bihn	
actions speak louder than words	听其言不如观其行	聽其言不如觀其行	tīng qí yán bùrú guān qí xíng	ting kèih yìhn bāt-yùh gūn kèih hàhng	
actions speak louder than words	行动比言语更有力	行動比言語更有力	xíngdòng bǐ yányǔ gèng yǒulì	hàhng-duhng béi yìhn-yúh gang yáuh-lihk	
actions speak louder than words	行动比语言更有力	行動比語言更有力	xíngdòng bǐ yǔyán gèng yǒulì	hàhng-duhng béi yúh-yìhn gang yáuh-lihk	
actions speak louder than words	行动胜于雄辩	行動勝于雄辯	xíngdòng shèngyú xióngbiàn	hàhng-duhng sing-yū hùhng-bihn	
active here and there (lit. east busy west busy)	东忙西忙	東忙西忙	dōngmáng-xīmáng	dūng-mòhng-sāi-mòhng	
act licentiously	行淫	行淫	xíngyín	hàhng-yàhm	
(act of) violent crime	暴力罪行	暴力罪行	bàolì zuìxíng	bouh-lihk jeuih-hàhng	
Acton	阿克顿	阿克頓	Ākèdùn	A-hāk-deuhn	
Acton (old translation)	艾唐	艾唐	Àitáng	Ngaaih-tòhng	
Acts of Apostles	使徒行传	使徒行傳	Shǐtúxíngzhuàn	Si-tòuh-hàhng-jyuhn	
Acts of Apostles (book, Catholic version)	宗徒大事录	宗徒大事錄	Zōngtú Dàshìlù	Jūng-tòuh Daaih-sih-luhk	
Acts of Pilate (apocryphal)	彼拉多行传	彼拉多行傳	Bǐlāduō Xíngzhuàn	Béi-lāai-dō Hàhng-jyuhn	
Acul	阿库尔	阿庫爾	Ākù'ěr	A-fu-yíh	
acute leukemia	急性白血病	急性白血病	jíxìng báixuèbìng	gāp-sing baahk-hyut-behng	
Acuña	阿库尼亚	阿庫尼亞	Ākùníyà	A-fu-nèih-nga	
Adab	阿代卜	阿代卜	Ādàibǔ	A-doih-būk	
Adadah	亚大达	亞大達	Yàdàdá	Nga-daaih-daaht	ʌdˈeɪdʌ
Adah	亚黛	亞黛	Yàdài	Nga-doih	ˈeɪdæɹ
Adaiah	亚大雅	亞大雅	Yàdàyǎ	Nga-daaih-ngáh	ʌdˈaɪʌ
Adaine	阿丹	阿丹	Ādān	A-dāan	
Ada Lau (Phoenix TV)	刘芳	劉芳	Liú Fāng	Làuh Fōng	
Adalberto	阿德尔伯托	阿德爾伯托	Ādé'ěrbótuō	A-dāk-yíh-baak-tok	
Adamah	亚大玛	亞大瑪	Yàdàmǎ	Nga-daaih-máh	ˈædəmʌ
Adam (city)	亚当城	亞當城	Yàdāngchéng	Nga-dōng-sìhng	
Adam (person)	亚当	亞當	Yàdāng	Nga-dōng	
Adams	亚当斯	亞當斯	Yàdāngsī	Nga-dōng-sī	
Adana	阿达纳	阿達納	Ādánà	A-daaht-naahp	
Adangme (language)	阿当梅语	阿當梅語	Ādāngméiyǔ	A-dōng-mùih-yúh	
adaptive trait	适应器	適應器	shìyìngqì	sīk-ying-hei	
Adar	亚达月	亞達月	Yàdáyuè	Nga-daaht-yuht	ˈeɪdɑɹ
<HK> add-value machine (for topping up Octopus card)	增值机	增值機	zēngzhíjī	jāng-jihk-gēi	
Addar	亚达珥	亞達珥	Yàdá'ěr	Nga-daaht-yih	ˈædəː
Addenbrooke's (hospital)	阿登布鲁克	阿登布魯克	Ādēngbùlǔkè	A-dāng-bou-lóuh-hāk	
add him (on QQ etc)	加他	加他	jiā tā	gā tā	
Addi	亚底	亞底	Yàdǐ	Nga-dái	ˈædaɪ
addicted to Internet; have Internet addiction	上网成瘾	上網成癮	shàngwǎng chéngyǐn	séuhng-móhng sìhng-yáhn	
Addie	雅迪	雅迪	Yǎdí	Ngáh-dihk	
Addis Ababa	亚的斯亚贝巴	亞的斯亞貝巴	Yàdìsīyàbèibā	Nga-dīk-sī-nga-bui-bā	
Addison	艾迪生	艾迪生	Àidíshēng	Ngaaih-dihk-sāang	
add (something, to a writing)	载有	載有	zǎiyǒu	joi-yáuh	
add subtitle/caption (to video/picture)	配字	配字	pèi zì	pui jih	
add subtitles (to a video)	配字幕	配字幕	pèi zìmù	pui jih-mohk	
add (to)	加增	加增	jiāzēng	gā-jāng	
Adel	阿德尔	阿德爾	Ādé'ěr	A-dāk-yíh	
Adelaide (Australia)	阿德莱德	阿德萊德	Ādéláidé	A-dāk-lòih-dāk	
Adelaide (Australia) (older version)	阿德雷德	阿德雷德	Ādéléidé	A-dāk-lèuih-dāk	
Adele	阿黛尔	阿黛爾	Ādài'ěr	A-doih-yíh	
Adelina	亚德莉娜	亞德莉娜	Yàdélìnà	Nga-dāk-leih-nàh	
Adeline	爱德琳	愛德琳	Àidélín	Ngoi-dāk-làhm	
Adeline	阿德琳	阿德琳	Ādélín	A-dāk-làhm	
adenine	腺嘌呤	腺嘌呤	xiànpiàolìng	sin-pīu-lìhng	
adenosine triphosphate; ATP	腺苷三磷酸	腺苷三磷酸	xiàngān-sānlínsuān	sin-gām-sāam-lèuhn-syūn	
adept (in sthg)	玩转	玩轉	wánzhuǎn	wáan-jyún	
adequate/ample time; whatever time is necessary	充足的时间	充足的時間	chōngzú de shíjiān	chūng-jūk dīk sìh-gāan	
adhonai	阿多奈	阿多奈	āduōnài	a-dō-noih	
A Dictionary of Religious Knowledge	宗教知识辞典	宗教知識辭典	Zōngjiào Zhīshi Cídiǎn	Jūng-gaau Ji-sīk Chìh-dín	
Adin (Bible)	亚丁	亞丁	Yàdīng	Nga-dīng	ˈeɪdɪn
Adin (modern)	埃丁	埃丁	Āidīng	Āai-dīng	
Adjara	阿扎尔	阿扎爾	Āzhā'ěr	A-jaat-yíh	
Adjaruli (dance)	阿扎尔舞蹈	阿扎爾舞蹈	Āzhā'ěr wǔdǎo	A-jaat-yíh móuh-douh	
Adlam (written language)	阿德拉姆文	阿德拉姆文	Ādélāmǔwén	A-dāk-lāai-móuh-màhn	
Adler	阿德勒	阿德勒	Ādélè	A-dāk-lahk	
Adler (Mortimer)	艾德勒	艾德勒	Àidélè	Ngaaih-dāk-lahk	
Admah	押玛	押瑪	Yāmǎ	Aat-máh	ˈædmæɹ
Admatha	押玛他	押瑪他	Yāmǎtā	Aat-máh-tā	ˌædmˈeɪθʌ
Administrative Centre	行政中心	行政中心	Xíngzhèng Zhōngxīn	Hàhng-jing Jūng-sām	
admitted as	接纳为	接納為	jiēnà wéi	jip-naahp wàih	
Adna	押纳	押納	Yānà	Aat-naahp	ˈædnʌ
Adnan	阿德南	阿德南	Ādénán	A-dāk-nàahm	
Adolf (Hitler's given name)	阿道夫	阿道夫	Ādàofū	A-douh-fū	
Adolfo	阿道弗	阿道弗	Ādàofú	A-douh-fāt	
Adoni-bezek	亚多尼比色	亞多尼比色	Yàduōníbǐsè	Nga-dō-nèih-béi-sīk	
Adonijah	亚多尼雅	亞多尼雅	Yàduōníyǎ	Nga-dō-nèih-ngáh	ædənˈaɪdʒʌ
Adonikam	亚多尼干	亞多尼干	Yàduōnígān	Nga-dō-nèih-gōn	ˌædəʊnˈaɪkæm
Adoniram	亚多尼兰	亞多尼蘭	Yàduōnílán	Nga-dō-nèih-làahn	ˌædəʊnˈaɪɹæm
Adoniram	阿多奈拉姆	阿多奈拉姆	Āduōnàilāmǔ	A-dō-noih-lāai-móuh	ˌædəʊnˈaɪɹæm
Adonis	阿多尼斯	阿多尼斯	Āduōnísī	A-dō-nèih-sī	
adoption certificate	收养证明	收養證明	shōuyǎng zhèngmíng	sāu-yéuhng jing-mìhng	
a dozen	一打	一打	yīdá	yāt-dā	
Adrammelech	亚得米勒	亞得米勒	Yàdémǐlè	Nga-dāk-máih-lahk	ʌdɹˈɛməlɛk
Adria	阿德里亚	阿德里亞	Ādélǐyà	A-dāk-léuih-nga	ˈeɪdɹiʌ
Adrian	艾德里安	艾德里安	Àidélǐ'ān	Ngaaih-dāk-léuih-ngōn	
Adrian	阿德里安	阿德里安	Ādélǐ'ān	A-dāk-léuih-ngōn	
Adriana	阿德里亚娜	阿德里亞娜	Ādélǐyànà	A-dāk-léuih-nga-nàh	
Adrianna	阿德里安娜	阿德里安娜	Ādélǐ'ānnà	A-dāk-léuih-ngōn-nàh	
Adriano	阿德里亚诺	阿德里亞諾	Ādélǐyànuò	A-dāk-léuih-nga-nohk	
Adriatic sea	阿德里亚海	阿德里亞海	Ādélǐyàhǎi	A-dāk-léuih-nga-hói	
Adshead	阿谢德	阿謝德	Āxièdé	A-jeh-dāk	
Adson	阿德松	阿德松	Ādésōng	A-dāk-chùhng	
Adulfo	阿杜福	阿杜福	Ādùfú	A-douh-fūk	
Adullam	亚杜兰	亞杜蘭	Yàdùlán	Nga-douh-làahn	ʌdˈɒləm
Adullamite	亚杜兰人	亞杜蘭人	Yàdùlánrén	Nga-douh-làahn-yàhn	
adultery	通奸	通姦	tōngjiān	tūng-gāan	ˌədˈʌltəɹi
adultery	通奸罪	通姦罪	tōngjiānzuì	tūng-gāan-jeuih	ˌədˈʌltəɹi
advanced (course etc)	进阶	進階	jìnjiē	jeun-gāai	
advance from bad to worse; go from bad to worse	越来越坏	越來越壞	yuèláiyuè huài	yuht-lòih-yuht waaih	
advance of technology	科技进步	科技進步	kējì jìnbù	fō-geih jeun-bouh	
advancing in step	同步并进	同步並進	tóngbù-bìngjìn	tùhng-bouh-bihng-jeun	
Adventist	复临派	復臨派	Fùlínpài	Fuhk-làhm-paai	ˈædvəntɪst
Adventist church (short form)	安息日会	安息日會	Ānxīrìhuì	Ngōn-sīk-yaht-wúi	
advertiser	广告主	廣告主	guǎnggàozhǔ	gwóng-gou-jyú	
advertising slogan	广告语	廣告語	guǎnggàoyǔ	gwóng-gou-yúh	
Adyghe (language)	阿迪格语	阿迪格語	Ādígéyǔ	A-dihk-gaak-yúh	
adze (flat axe)	扁斧	扁斧	biǎnfǔ	bín-fú	
Aegean sea	爱琴海	愛琴海	Àiqínhǎi	Ngoi-kàhm-hói	
Aeneas	以尼雅	以尼雅	Yǐníyǎ	Yíh-nèih-ngáh	ʌnˈiəs
Aenon	艾嫩	艾嫩	Àinèn	Ngaaih-nyuhn	ˈinɒn
aerial view	空拍图	空拍圖	kōngpāitú	hūng-paak-tòuh	
aerosol spray	喷雾剂	噴霧劑	pēnwùjì	pan-mouh-jāi	
Aeschylus	埃斯库罗斯	埃斯庫羅斯	Āisīkùluósī	Āai-sī-fu-lòh-sī	
Aesculapius	阿斯科拉庇阿斯	阿斯科拉庇阿斯	Āsīkēlābì'āsī	A-sī-fō-lāai-bei-a-sī	
Aesop	伊索	伊索	Yīsuǒ	Yī-sok	
Afar (language)	阿法尔语	阿法爾語	Āfǎ'ěryǔ	A-faat-yíh-yúh	
Afeniyi	阿芬尼雅	阿芬尼雅	Āfēnníyǎ	A-fān-nèih-ngáh	
a few; what time	几点	幾點	jǐ diǎn	géi dím	
a few minutes	几分钟	幾分鐘	jǐ fēnzhōng	géi fān-jūng	
a few thousand years	几千年	幾千年	jǐqiān nián	géi-chīn nìhn	
affection	深厚的感情	深厚的感情	shēnhòu de gǎnqíng	sām-háuh dīk gám-chìhng	ˌəfˈɛkʃən
affection	爱意	愛意	àiyì	ngoi-yi	
affection-inducing	引发爱心	引發愛心	yǐnfā àixīn	yáhn-faat ngoi-sām	
affiliate programme; corporate membership system	会员制	會員制	huìyuánzhì	wúi-yùhn-jai	
afflict; treat badly	苦待	苦待	kǔdài	fú-doih	ˌəflˈɪkt
afflicted and poor	困苦穷乏	困苦窮乏	kùnkǔ-qióngfá	kwan-fú-kùhng-faht	
Afghans	阿富汗人	阿富汗人	Āfùhànrén	A-fu-hohn-yàhn	
Afonso	阿丰索	阿豐索	Āfēngsuǒ	A-fūng-sok	
African American (person)	非裔美国人	非裔美國人	Fēiyì Měiguórén	Fēi-yeuih Méih-gwok-yàhn	
African Rights (organisation)	非洲人权	非洲人權	Fēizhōu Rénquán	Fēi-jāu Yàhn-kyùhn	
Africanus	阿非利加努斯	阿非利加努斯	Āfēilìjiānǔsī	A-fēi-leih-gā-nóuh-sī	
Afrikaans	南非语	南非語	Nánfēiyǔ	Nàahm-fēi-yúh	ˌæfɹɪkˈɑns
Afro-Brazilian	非裔巴西人	非裔巴西人	Fēi-yì Bāxīrén	Fēi-yeuih Bā-sāi-yàhn	
after-beat grace note (in Chinese music)	后倚音	后倚音	hòu yǐyīn	hauh yí-yām	
after sundown	日落之后	日落之后	rìluò zhīhòu	yaht-lohk jī-hauh	
after the following midnight	次日凌晨	次日凌晨	cìrì língchén	chi-yaht lìhng-sàhn	
Agabus	亚迦布	亞迦布	Yàjiābù	Nga-gā-bou	ˈæɡʌbəs
Agadez	阿加德兹	阿加德茲	Ājiādézī	A-gā-dāk-jī	
