Word	Simplified	Traditional	Pinyin	Yale (provisional)	IPA
Abadi	阿巴迪	阿巴迪	Ābādí	A-bā-dihk	
Abagael; Abagail; Abigael	艾碧盖尔	艾碧蓋爾	Àibìgài'ěr	Ngaaih-bīk-goi-yíh	
Abag (banner, in Inner Mongolia)	阿巴嘎旗	阿巴嘎旗	Ābāgā Qí	A-bā-gā Kèih	
Abagtha	亚拔他	亞拔他	Yàbátā	Nga-baht-tā	ʌbˈæɡθʌ
Abakan	阿巴坎	阿巴坎	Ābākǎn	A-bā-hām	
Aban	阿班	阿班	Ābān	A-bāan	
Abana	阿巴纳	阿巴納	Ābānà	A-bā-naahp	
Abanah	亚罢拿	亞罷拿	Yàbàná	Nga-bah-nàh	ʌbˈeɪnʌ
Abanah (river)	亚罢拿河	亞罷拿河	Yàbàná hé	Nga-bah-nàh hòh	ʌbˈeɪnʌ
Abancay	阿班凯	阿班凱	Ābānkǎi	A-bāan-hói	
abandon everything	撇下一切	撇下一切	piēxia yīqiè	pit-hah yāt-chai	
abandon oneself	舍己	捨己	shě jǐ	sé géi	
Abarbanel	阿巴伯内尔	阿巴伯內爾	Ābābónèi'ěr	A-bā-baak-noih-yíh	
Abarim	亚巴琳	亞巴琳	Yàbālín	Nga-bā-làhm	ˈæbʌɹɪm
Abashiri (place in Hokkaido)	纲走	綱走	Gāngzǒu	Gōng-jáu	
Abbabach (river)	阿巴赫河	阿巴赫河	Ābāhè Hé	A-bā-hāk Hòh	
Abbadessa	阿巴德萨	阿巴德薩	Ābādésà	A-bā-dāk-saat	
Abbado	阿巴多	阿巴多	Ābāduō	A-bā-dō	
Abbas	阿拔斯	阿拔斯	Ābásī	A-baht-sī	
Abbas; Abase (surname)	阿巴斯	阿巴斯	Ābāsī	A-bā-sī	
Abbasi	阿巴西	阿巴西	Ābāxī	A-bā-sāi	
Abbatemarco	阿巴特马科	阿巴特馬科	Ābātèmǎkē	A-bā-dahk-máh-fō	
abba (transliteration)	阿巴	阿巴	ābā	a-bā	
Abbe; Abbi; Abbie; Abby; Abie; Aby	艾比	艾比	Àibǐ	Ngaaih-béi	
Abbe; Abee; Abbey (surname)	阿贝	阿貝	Ābèi	A-bui	
Abbey; Abe	艾贝	艾貝	Àibèi	Ngaaih-bui	
Abbitt	阿比特	阿比特	Ābǐtè	A-béi-dahk	
Abbotsbury	阿伯茨伯里	阿伯茨伯里	Ābócíbólǐ	A-ba-chìh-baak-léih	
Abbott	阿博特	阿博特	Ābótè	A-bok-dahk	
abbreviated as	简写为	簡寫為	jiǎnxiě wéi	gáan-sé wàih	
abbreviated as	简称为	簡稱為	jiǎnchēng wéi	gáan-chīng wàih	
abbreviated as	缩写为	縮寫為	suōxiě wéi	sūk-sé wàih	
abbreviated pinyin input method (completes phrase from initial letters)	简拼	簡拼	jiǎnpīn	gáan-ping	
abbreviated to	被简称为	被簡稱為	bèi jiǎnchēng wéi	beih gáan-chīng wàih	
Abbs	阿布斯	阿布斯	Ābùsī	A-bou-sī	
Abdallah	阿都拿	阿都拿	Ādōuná	A-dōu-nàh	
Abdel	阿布戴尔	阿布戴爾	Ābùdài'ěr	A-bou-daai-yíh	
Abdi	亚伯底	亞伯底	Yàbódǐ	Nga-ba-dái	ˈæbdaɪ
Abdi	阿卜迪	阿卜迪	Ābǔdí	A-būk-dihk	ˈæbdaɪ
Abdi	阿布迪	阿布迪	Ābùdí	A-bou-dihk	ˈæbdaɪ
Abdiel	阿布迪尔	阿布迪爾	Ābùdí'ěr	A-bou-dihk-yíh	ˈæbdiɛl
<netspeak, vulgar?> abdomen pain; frustration	蛋疼	蛋疼	dànténg	dáan-tung	
abdominal muscle; abs; rectus abdominis	腹直肌	腹直肌	fùzhíjī	fūk-jihk-gēi	
abdominal oblique muscles	腹斜肌	腹斜肌	fùxiéjī	fūk-chèh-gēi	
abdominal pressure; pushing (to discharge waste etc)	腹压	腹壓	fùyā	fūk-ngaat	
abdominal wall; stomach wall	腹壁	腹壁	fùbì	fūk-bīk	
Abdon	押顿	押頓	Yādùn	Aat-deuhn	ˈæbdɒn
Abdoulaye	阿卜杜拉耶	阿卜杜拉耶	Ābǔdùlāyē	A-būk-douh-lāai-yèh	
Abdu	阿卜杜	阿卜杜	Ābǔdù	A-būk-douh	
Abdul	阿杜勒	阿杜勒	Ādùlè	A-douh-lahk	
Abdulino	阿卜杜利诺	阿卜杜利諾	Ābǔdùlìnuò	A-būk-douh-leih-nohk	
Abdullaev	阿卜杜拉耶夫	阿卜杜拉耶夫	Ābǔdùlāyēfū	A-būk-douh-lāai-yèh-fū	
Abdullah	艾度拉	艾度拉	Àidùlā	Ngaaih-douh-lāai	
Abdullah	阿卜杜拉	阿卜杜拉	Ābǔdùlā	A-būk-douh-lāai	
Abdullah	阿都拉	阿都拉	Ādōulā	A-dōu-lāai	
Abdullahi	阿卜杜拉希	阿卜杜拉希	Ābǔdùlāxī	A-būk-douh-lāai-hēi	
Abdur	阿卜杜勒	阿卜杜勒	Ābǔdùlè	A-būk-douh-lahk	
Abe	安倍	安倍	Ānbèi	Ngōn-púih	
Abebe	阿贝贝	阿貝貝	Ābèibèi	A-bui-bui	
Abednego	亚伯尼哥	亞伯尼哥	Yàbónígē	Nga-ba-nèih-gō	əbˈɛdniɡəʊ
Abednego (older translation)	亚伯尼歌	亞伯尼歌	Yàbónígē	Nga-ba-nèih-gō	əbˈɛdniɡəʊ
Abeel	阿比尔	阿比爾	Ābǐ'ěr	A-béi-yíh	
Abegg	阿贝格	阿貝格	Ābèigé	A-bui-gaak	
Abegglen	阿贝格伦	阿貝格倫	Ābèigélún	A-bui-gaak-lèuhn	
Abel	亚伯	亞伯	Yàbó	Nga-ba	
Abela	阿贝拉	阿貝拉	Ābèilā	A-bui-lāai	
Abelardo	阿贝拉多	阿貝拉多	Ābèilāduō	A-bui-lāai-dō	
Abelardo	阿贝拉尔多	阿貝拉爾多	Ābèilā'ěrduō	A-bui-lāai-yíh-dō	
Abell	艾贝尔	艾貝爾	Àibèi'ěr	Ngaaih-bui-yíh	
Abell	阿贝尔	阿貝爾	Ābèi'ěr	A-bui-yíh	
Abell (older version?)	亚伯尔	亞伯爾	Yàbó'ěr	Nga-ba-yíh	
Abel-meholah	亚伯米何拉	亞伯米何拉	Yàbómǐhélā	Nga-ba-máih-hòh-lāai	ˌeɪbʌlməhˈəʊlʌ
Abelow	阿比洛	阿比洛	Ābǐluò	A-béi-lohk	
Abel (place, old translation)	亚比拉	亞比拉	Yàbǐlā	Nga-béi-lāai	
Abel Prize (mathematics)	阿贝尔奖	阿貝爾獎	Ābèi'ěr Jiǎng	A-bui-yíh Jéung	
Abels	埃布尔斯	埃布爾斯	Āibù'ěrsī	Āai-bou-yíh-sī	
Abel-shittim	亚伯什亭	亞伯什亭	Yàbóshítíng	Nga-ba-sahp-tìhng	ˌeɪbʌlʃˈɪtəm
Abelson	艾贝尔森	艾貝爾森	Àibèi'ěrsēn	Ngaaih-bui-yíh-sām	
Abena	阿贝纳	阿貝納	Ābèinà	A-bui-naahp	
Abendroth	阿本德罗思	阿本德羅思	Āběndéluósī	A-bún-dāk-lòh-sī	
Abeng	阿本	阿本	Āběn	A-bún	
Abeni	阿贝尼	阿貝尼	Ābèiní	A-bui-nèih	
Abercrombie; Abercromby	阿伯克龙比	阿伯克龍比	Ābókèlóngbǐ	A-ba-hāk-lùhng-béi	
Aberdeen	阿伯丁	阿伯丁	Ābódīng	A-ba-dīng	
Aberdeen HK	香港仔	香港仔	Xiānggǎng Zǐ	Hēung-góng Jái	
Aberg	阿韦尔格	阿韋爾格	Āwéi'ěrgé	A-wáih-yíh-gaak	
Abergavenny	阿伯加文尼	阿伯加文尼	Ābójiāwénní	A-ba-gā-màhn-nèih	ˌæbəɡəvˈɛni
Aberle	阿伯利	阿伯利	Ābólì	A-ba-leih	
Abernathy; Abernethy	阿伯内西	阿伯內西	Ābónèixī	A-ba-noih-sāi	
Aberystwith	阿伯里斯特威斯	阿伯里斯特威斯	Ābólǐsītèwēisī	A-ba-léih-sī-dahk-wāi-sī	
Abete	阿贝特	阿貝特	Ābèitè	A-bui-dahk	
Abha	艾卜哈	艾卜哈	Àibǔhā	Ngaaih-būk-hā	
<Budd.> Abhidhamma Pitaka (doctrine reorganization)	论藏	論藏	Lùnzàng	Leuhn-chòhng	
<Budd.> abhidhamma scriptures	阿毗昙	阿毗曇	Āpítán	A-pèih-tàahm	
<Budd.> abhidhamma scriptures	阿毘达磨	阿毘達磨	Āpídámó	A-pei-daaht-mòh	
abhorrent	惹人厌恶	惹人厭惡	rěrén yànwù	yéh-yàhn yim-wu	ˌəbhˈɒɹənt
Abi	亚比	亞比	Yàbǐ	Nga-béi	ˈeɪbaɪ
Abia	阿比亚	阿比亞	Ābǐyà	A-béi-nga	
Abiasaph	亚比亚撒	亞比亞撒	Yàbǐyàsā	Nga-béi-nga-saat	ʌbˈaɪʌsæf
Abiathar	亚比亚他	亞比亞他	Yàbǐyàtā	Nga-béi-nga-tā	ʌbˈaɪəθɑɹ
Abib	亚笔月	亞筆月	Yàbǐyuè	Nga-bāt-yuht	ˈeɪbɪb
Abid	阿比德	阿比德	Ābǐdé	A-béi-dāk	
Abida	亚比达	亞比達	Yàbǐdá	Nga-béi-daaht	ʌbˈaɪdʌ
Abidi	阿比迪	阿比迪	Ābǐdí	A-béi-dihk	
Abidjan	阿比让	阿比讓	Ābǐràng	A-béi-yeuhng	
abidol (drug)	阿比多尔	阿比多爾	ābǐduō'ěr	a-béi-dō-yíh	
Abie	阿碧	阿碧	Ābì	A-bīk	
Abiel	亚别	亞別	Yàbié	Nga-biht	ʌbˈaɪʌl
Abiel	埃比尔	埃比爾	Āibǐ'ěr	Āai-béi-yíh	ʌbˈaɪʌl
Abi-ezer	亚比以谢	亞比以謝	Yàbǐyǐxiè	Nga-béi-yíh-jeh	ˌæbiˈizə
Abigail (Bible)	亚比该	亞比該	Yàbǐgāi	Nga-béi-gōi	ˈæbɪɡeɪʌl
Abigail (modern)	娅比凯	婭比凱	Yàbǐkǎi	A-béi-hói	ˈæbɪɡeɪʌl
Abigail (modern)	阿比盖尔	阿比蓋爾	Ābǐgài'ěr	A-béi-goi-yíh	ˈæbɪɡeɪʌl
Abigayle	艾比盖尔	艾比蓋爾	Àibǐgài'ěr	Ngaaih-béi-goi-yíh	
Abihu	亚比户	亞比戶	Yàbǐhù	Nga-béi-wuh	ʌbˈaɪhjʉː
Abihud	亚比忽	亞比忽	Yàbǐhū	Nga-béi-fāt	ʌbˈaɪhʌd
Abijah	亚比雅	亞比雅	Yàbǐyǎ	Nga-béi-ngáh	ʌbˈaɪdʒʌ
Abijam	亚比央	亞比央	Yàbǐyāng	Nga-béi-yēung	ʌbˈaɪdʒəm
Abila	阿比拉	阿比拉	Ābǐlā	A-béi-lāai	
Abilene	亚比利尼	亞比利尼	Yàbǐlìní	Nga-béi-leih-nèih	ˌæbʌlˈini
Abilene	阿比林	阿比林	Ābǐlín	A-béi-làhm	ˌæbʌlˈini
Abilio	阿比利奥	阿比利奧	Ābǐlì'ào	A-béi-leih-ou	
ability to concentrate; concentration	集中力	集中力	jízhōnglì	jaahp-jūng-lihk	
ability to pay back (a debt)	还债能力	還債能力	huánzhài nénglì	wàahn-jaai nàhng-lihk	
ability to specialise; differentiation potency	分化能力	分化能力	fēnhuà nénglì	fān-fa nàhng-lihk	
Abilov	阿比洛夫	阿比洛夫	Ābǐluòfū	A-béi-lohk-fū	
Abimelech	亚比米勒	亞比米勒	Yàbǐmǐlè	Nga-béi-máih-lahk	ʌbˈɪmʌlɛkh
Abinadab	亚比拿达	亞比拿達	Yàbǐnádá	Nga-béi-nàh-daaht	ʌbˈɪnɪdæb
Abing (blind musician 1893-1950)	阿炳	阿炳	Ābǐng	A-bíng	
Abington	阿宾顿	阿賓頓	Ābīndùn	A-bān-deuhn	
Abinsk	阿宾斯克	阿賓斯克	Ābīnsīkè	A-bān-sī-hāk	
abiogenesis	无生源论	無生源論	wúshēngyuánlùn	mòuh-sāang-yùhn-leuhn	
Abiola	阿比奥拉	阿比奧拉	Ābǐ'àolā	A-béi-ou-lāai	
Abiram	亚比兰	亞比蘭	Yàbǐlán	Nga-béi-làahn	ʌbˈaɪɹəm
Abish	阿比什	阿比什	Ābǐshí	A-béi-sahp	
Abishag	亚比莎	亞比莎	Yàbǐshā	Nga-béi-sā	ˈæbiʃæɡ
Abishag (older translation)	亚比煞	亞比煞	Yàbǐshà	Nga-béi-saat	ˈæbiʃæɡ
Abishai	亚比筛	亞比篩	Yàbǐshāi	Nga-béi-sāi	ʌbˈɪʃaɪ
Abishua	亚比书	亞比書	Yàbǐshū	Nga-béi-syū	ˌæbɪʃˈʉːʌ
Abishur	亚比述	亞比述	Yàbǐshù	Nga-béi-seuht	ʌbˈaɪʃə
a bit	有一点点	有一點點	yǒu yīdiǎndiǎn	yáuh yāt-dím-dím	
(a bit) better	好一点	好一點	hǎo yīdiǎn	hóu yāt-dím	
a bit faster	快一点	快一點	kuài yīdiǎn	faai yāt-dím	
a bit spicy	微辣	微辣	wēilà	mèih-laaht	
Abitub	亚比突	亞比突	Yàbǐtū	Nga-béi-daht	ʌbˈaɪtəb
Abkhazia	阿布哈兹	阿布哈茲	Ābùhāzī	A-bou-hā-jī	
Abkhazian (language)	阿布哈西亚语	阿布哈西亞語	Ābùhāxīyàyǔ	A-bou-hā-sāi-nga-yúh	
Abkhazian (written language)	阿布哈西亚文	阿布哈西亞文	Ābùhāxīyàwén	A-bou-hā-sāi-nga-màhn	
Abkhaz (language)	阿布哈兹语	阿布哈茲語	Ābùhāzīyǔ	A-bou-hā-jī-yúh	
Abkhaz Republic	阿布哈兹共和国	阿布哈茲共和國	Ābùhāzī gònghéguó	A-bou-hā-jī guhng-wòh-gwok	
Abkhaz (written language)	阿布哈兹文	阿布哈茲文	Ābùhāzīwén	A-bou-hā-jī-màhn	
ablation surgery	消融手术	消融手術	xiāoróng shǒushù	sīu-yùhng sáu-seuht	
able-bodied man (word used in some cases)	壮汉	壯漢	zhuànghàn	jong-hon	
Able (name)	埃布尔	埃布爾	Āibù'ěr	Āai-bou-yíh	
Ableson	埃布尔森	埃布爾森	Āibù'ěrsēn	Āai-bou-yíh-sām	
able to bear; able to undertake	承担得起	承擔得起	chéngdāndeqǐ	sìhng-dāam-dāk-héi	
able to carry (a load)	扛得住	扛得住	kángdezhù	gōng-dāk-jyuh	
(able to) help	帮得上忙	幫得上忙	bāngdeshang máng	bōng-dāk-séuhng mòhng	
able to march and good at fighting	能征善战	能征善戰	néngzhēng-shànzhàn	nàhng-jīng-sihn-jin	
Ablett; Ablitt	阿布利特	阿布利特	Ābùlìtè	A-bou-leih-dahk	
Abner	押尼珥	押尼珥	Yāní'ěr	Aat-nèih-yih	ˈæbnəː
Abner (modern)	阿伯纳	阿伯納	Ābónà	A-ba-naahp	ˈæbnəː
Abner (modern)	阿布内	阿布內	Ābùnèi	A-bou-noih	ˈæbnəː
Abner (modern)	阿布纳	阿布納	Ābùnà	A-bou-naahp	ˈæbnəː
Abney	阿布尼	阿布尼	Ābùní	A-bou-nèih	
abnormal	不正常	不正常	bùzhèngcháng	bāt-jing-sèuhng	ˌæbnˈɔːməl
abnormal psychology; psychopathology	精神病理学	精神病理學	jīngshénbìnglǐxué	jīng-sàhn-behng-léih-hohk	
Abobral	阿博布	阿博布	Ābóbù	A-bok-bou	
abode; big house	大宅	大宅	dàzhái	daaih-jaahk	ˌəbˈəʊd
Abomey	亚波美	亞波美	Yàbōměi	Nga-bō-méih	
Abomey	阿波美	阿波美	Ābōměi	A-bō-méih	
abomination	可憎之事	可憎之事	kězēng zhī shì	hó-jāng jī sih	ˈəbˈɒmɪnˈeɪʃən
<TW> aboriginal	原住民族	原住民族	yuánzhùmínzú	yùhn-jyuh-màhn-juhk	
Aboriginal community (village etc)	原住民社区	原住民社區	yuánzhùmín shèqū	yùhn-jyuh-màhn séh-kēui	
aborigines (lit. original inhabitants)	土著居民	土著居民	tǔzhù jūmín	tóu-jyu gēui-màhn	
Aborn	阿博恩	阿博恩	Ābó'ēn	A-bok-yān	
abortion doping (unproven cold-war rumour)	堕胎兴奋剂	墮胎興奮劑	duòtāi xīngfènjì	doh-tōi hīng-fáhn-jāi	
Aboth (in Mishnah)	阿伯特	阿伯特	Ābótè	A-ba-dahk	
Aboud	阿布德	阿布德	Ābùdé	A-bou-dāk	
about China (statements etc)	涉华	涉華	shè-Huá	sip-Wàh	
about this	对此	對此	duì cǐ	deui chí	
about to die	快要死	快要死	kuàiyào sǐ	faai-yiu séi	
about to reach (place)	快到	快到	kuài dào	faai dou	
Abovyan	阿博维扬	阿博維揚	Ābówéiyáng	A-bok-wàih-yèuhng	
Abra	艾博拉	艾博拉	Àibólā	Ngaaih-bok-lāai	
Abra	阿布拉	阿布拉	Ābùlā	A-bou-lāai	
Abraha	阿布拉哈	阿布拉哈	Ābùlāhā	A-bou-lāai-hā	
Abraham	亚伯拉罕	亞伯拉罕	Yàbólāhǎn	Nga-ba-lāai-hón	
Abrahams	亚伯拉罕斯	亞伯拉罕斯	Yàbólāhǎnsī	Nga-ba-lāai-hón-sī	
Abrahamson	亚伯拉罕森	亞伯拉罕森	Yàbólāhǎnsēn	Nga-ba-lāai-hón-sām	
Abram	亚伯兰	亞伯蘭	Yàbólán	Nga-ba-làahn	ˈeɪbɹəm
Abram (modern)	亚伯拉姆	亞伯拉姆	Yàbólāmǔ	Nga-ba-lāai-móuh	ˈeɪbɹəm
Abram (modern)	阿布拉姆	阿布拉姆	Ābùlāmǔ	A-bou-lāai-móuh	ˈeɪbɹəm
Abramoff	阿布拉莫夫	阿布拉莫夫	Ābùlāmòfū	A-bou-lāai-mohk-fū	
Abramovitz; Abramowitz	阿布拉莫维茨	阿布拉莫維茨	Ābùlāmòwéicí	A-bou-lāai-mohk-wàih-chìh	
Abramović	阿布拉莫维奇	阿布拉莫維奇	Ābùlāmòwéiqí	A-bou-lāai-mohk-wàih-kèih	
Abrams	艾布拉姆斯	艾布拉姆斯	Àibùlāmǔsī	Ngaaih-bou-lāai-móuh-sī	ˈeɪbɹəmz
Abramson	艾布拉姆森	艾布拉姆森	Àibùlāmǔsēn	Ngaaih-bou-lāai-móuh-sām	ˈeɪbɹəmsən
Abrew	阿布鲁	阿布魯	Ābùlǔ	A-bou-lóuh	
Abri	阿布里	阿布里	Ābùlǐ	A-bou-léih	
abridged edition	缩略本	縮略本	suōlüèběn	sūk-leuhk-bún	
A Brief History of Time (book)	时间简史	時間簡史	Shíjiān Jiǎnshǐ	Sìh-gāan Gáan-sí	
Abrikosor	阿布里科索夫	阿布里科索夫	Ābùlǐkēsuǒfū	A-bou-léih-fō-sok-fū	
Abronah	阿博拿	阿博拿	Ābóná	A-bok-nàh	ʌbɹˈəʊnʌ
Abrosimova	阿布罗西莫娃	阿布羅西莫娃	Ābùluóxīmòwá	A-bou-lòh-sāi-mohk-wā	
Abruzzo	阿布鲁佐	阿布魯佐	Ābùlǔzuǒ	A-bou-lóuh-jo	
Absalom	押沙龙	押沙龍	Yāshālóng	Aat-sā-lùhng	ˈæbsəlɒm
Absalom (modern)	阿布萨龙	阿布薩龍	Ābùsàlóng	A-bou-saat-lùhng	ˈæbsəlɒm
Absalon	亚沙龙	亞沙龍	Yàshālóng	Nga-sā-lùhng	
Absalon	阿布萨隆	阿布薩隆	Ābùsàlóng	A-bou-saat-lùhng	
absence	缺场	缺場	quēchǎng	kyut-chèuhng	
absence seizure	失神发作	失神發作	shīshén fāzuò	sāt-sàhn faat-jok	
Abshire	阿布希尔	阿布希爾	Ābùxī'ěr	A-bou-hēi-yíh	
Absolon	阿布索伦	阿布索倫	Ābùsuǒlún	A-bou-sok-lèuhn	
absolute advantage	绝对优势	絕對優勢	juéduì yōushì	jyuht-deui yāu-sai	
absolutely beautiful	绝美	絕美	juéměi	jyuht-méih	
<mus.> absolute pitch	固定音高	固定音高	gùdìng yīngāo	gu-dihng yām-gōu	
<mus.> absolute pitch; perfect pitch	绝对音准	絕對音准	juéduì yīnzhǔn	jyuht-deui yām-jéun	
absolute (positional) embedding	绝对嵌入	絕對嵌入	juéduì qiànrù	jyuht-deui ham-yahp	
absolute position (in CSS)	绝对定位	絕對定位	juéduì dìngwèi	jyuht-deui dihng-wái	
absorbed in	专注于	專注於	zhuānzhù yú	jyūn-jyu yū	
absorption (type of refrigeration etc)	吸附式	吸附式	xīfùshì	kāp-fuh-sīk	ˌəbsˈɔːpʃən
Abston	阿布斯顿	阿布斯頓	Ābùsīdùn	A-bou-sī-deuhn	
abstract art	抽象艺术	抽象藝術	chōuxiàng yìshù	chāu-jeuhng ngaih-seuht	
<comp.> abstract base class	抽象基类	抽象基類	chōuxiàng jīlèi	chāu-jeuhng gēi-leuih	
<comp.> abstract class	抽象类	抽象類	chōuxiànglèi	chāu-jeuhng-leuih	
abstraction (abstract thing)	抽象的事	抽象的事	chōuxiàng de shì	chāu-jeuhng dīk sih	ˌəbstɹˈækʃən
Ab (summer month)	阿布月	阿布月	Ābùyuè	A-bou-yuht	
Abt	亚伯特	亞伯特	Yàbótè	Nga-ba-dahk	
Abubakar	阿布巴卡尔	阿布巴卡爾	Ābùbākǎ'ěr	A-bou-bā-kā-yíh	
Abui (language)	阿布伊语	阿布伊語	Ābùyīyǔ	A-bou-yī-yúh	
Abui (written language)	阿布伊文	阿布伊文	Ābùyīwén	A-bou-yī-màhn	
Abuja	阿布贾	阿布賈	Ābùjiǎ	A-bou-gá	
abundance of words; speak many words	多言多语	多言多語	duōyán-duōyǔ	dō-yìhn-dō-yúh	
abundantly feel (big feel)	大感	大感	dàgǎn	daaih-gám	
abundant riches	巨财	巨財	jùcái	geuih-chòih	
abuse authority (of police etc)	滥用权力	濫用權力	lànyòng quánlì	laahm-yuhng kyùhn-lihk	
abuse power for personal gain	滥权自肥	濫權自肥	lànquán zìféi	laahm-kyùhn jih-fèih	
abuser; violator	侵犯者	侵犯者	qīnfànzhě	chām-faahn-jé	
abuser (of drugs etc)	滥用者	濫用者	lànyòngzhě	laahm-yuhng-jé	
Abuso	阿布索	阿布索	Ābùsuǒ	A-bou-sok	
Abyss	阿比斯	阿比斯	Ābǐsī	A-béi-sī	ˌəbˈɪs
Abyssinia	阿比西尼亚	阿比西尼亞	Ābǐxīníyà	A-béi-sāi-nèih-nga	
abyss or bottomless pit	无底坑	無底坑	wúdǐkēng	mòuh-dái-hāang	
Abzac	阿布扎克	阿布扎克	Ābùzhākè	A-bou-jaat-hāk	
Abū	阿布	阿布	Ābù	A-bou	
acacia wood	金合欢木	金合歡木	jīnhéhuānmù	gām-hahp-fūn-muhk	
academia; academic circles	学术圈	學術圈	xuéshùquān	hohk-seuht-hyūn	
academic ability	学术能力	學術能力	xuéshù nénglì	hohk-seuht nàhng-lihk	
academic achievement	学术成果	學術成果	xuéshù chéngguǒ	hohk-seuht sìhng-gwó	
academic atmosphere	学术氛围	學術氛圍	xuéshù fēnwéi	hohk-seuht fān-wàih	
academic background	学术背景	學術背景	xuéshù bèijǐng	hohk-seuht bui-gíng	
academic bullying	学术霸凌	學術霸凌	xuéshù bàlíng	hohk-seuht ba-lìhng	
academic career	学术生涯	學術生涯	xuéshù shēngyá	hohk-seuht sāang-ngàaih	
academic conference	学术会议	學術會議	xuéshù huìyì	hohk-seuht wuih-yíh	
academic conference	学术性的会议	學術性的會議	xuéshùxìng de huìyì	hohk-seuht-sing dīk wuih-yíh	
